"__mclCluster","EnrichmentMap::Colouring (scat_u_en_2)","EnrichmentMap::ES (scat_u_en_2)","EnrichmentMap::fdr_qvalue (scat_u_en_2)","EnrichmentMap::fwer_qvalue (scat_u_en_2)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (scat_u_en_2)","EnrichmentMap::pvalue (scat_u_en_2)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1","0.9999999999999916",,"8.387809723292626E-15",,"REG3G|PGF|PKHD1|LEP|PTH|SERPINF2|VEGFB|THBS1|NOG|HBEGF|NGF|FGF1|CCL11|GDNF|CCL24|CCK|FGF9|BMP2|WNT5A|NTN1|LTBP3|BMP6|ANXA2|PDGFC|FGF21|FBLN5|SFRP1|ENPP2|ANXA1|REG1|VEGFC|PRL3C1|ADAMTS1|CXCL1|BMP10|FGF5|FGF2|ARG1|CCN1|BTC|BMP4|PDGFA|PDGFB|BMP5|IL34|COMP|MUP20","positive regulation of cell population proliferation","47","ENR","GO:0008284","1.0","8.387809723292626E-15","Cluster 1","Clustered","105.31400568606914","GO:0008284","false","GO:0008284"
"1","0.9604275344163186",,"0.03957246558368148",,"APOA5|LEP|HAMP","regulation of digestive system process","3","ENR","GO:0044058","1.0","0.03957246558368148","Cluster 5","Clustered","30.0","GO:0044058","false","GO:0044058"
"1","0.9750792590238188",,"0.024920740976181275",,"SERPINE1|PKHD1|LEP|APOH|PTH|VEGFB|THBS1|NOG|NGF|GDNF|CDSN|WNT5A|CRYAB|ALB|FGF21|AGR2|SFRP1|NENF|FGB|WNT9A|FGF2|CCN1|BTC|BMP4|WNT11|APP|COMP","negative regulation of cell death","27","ENR","GO:0060548","1.0","0.024920740976181275","Cluster 1","Clustered","88.23999294657027","GO:0060548","false","GO:0060548"
"1","0.9999998878476442",,"1.1215235586979826E-7",,"REG3G|LAMA5|PGF|SERPINE1|PKHD1|INHBA|COL15A1|EDA|NOG|HBEGF|FGF1|CCL11|GDNF|ADAMTSL4|CDSN|TULP3|NTN4|BMP2|WNT5A|NTN1|DKK4|BMP6|AGR2|SFRP1|FAM20C|ANXA1|REG1|VEGFC|MGP|ADAMTSL2|WNT9A|FGF2|CCN1|SERPINE2|BMP4|WNT11|BMP5|WNT5B|LAMA3","epithelium development","39","ENR","GO:0060429","1.0","1.1215235586979826E-7","Cluster 1","Clustered","90.42446825027169","GO:0060429","false","GO:0060429"
"1","0.9762147288948891",,"0.023785271105110903",,"FGF2|FGF9|FGF1|FGF5","FGFR3 ligand binding and activation","4","ENR","REAC:R-MMU-190239","1.0","0.023785271105110903","Cluster 2","Clustered","86.14266517357223","REAC:R-MMU-190239","false","REAC:R-MMU-190239"
"1","0.9919122423844183",,"0.008087757615581654",,"FGF2|FGF9|SERPINF2|THBS1|ADAMTS1|BMP4|PDGFB|HBEGF","positive regulation of smooth muscle cell proliferation","8","ENR","GO:0048661","1.0","0.008087757615581654","Cluster 2","Clustered","83.3782894736842","GO:0048661","false","GO:0048661"
"1","0.9999620016903742",,"3.799830962577764E-5",,"LAMA5|PGF|PKHD1|MGP|NOG|FGF1|CCL11|GDNF|FGF2|NTN4|BMP2|WNT5A|BMP4|SFRP1","morphogenesis of a branching structure","14","ENR","GO:0001763","1.0","3.799830962577764E-5","Cluster 1","Clustered","102.51340996168582","GO:0001763","false","GO:0001763"
"1","0.9999753337714464",,"2.4666228553585177E-5",,"LEP|VEGFB|HBEGF|HRG|GDNF|CCK|BTC|BMP6|TEX101|PDGFB|PDGFC|IL34|SFRP1|APP|ENPP2|HPX","regulation of peptidyl-tyrosine phosphorylation","16","ENR","GO:0050730","1.0","2.4666228553585177E-5","Cluster 2","Clustered","75.7113924050633","GO:0050730","false","GO:0050730"
"1","0.9999999916479475",,"8.352052541245518E-9",,"SFRP5|SERPINE1|LEP|STC2|THBS1|NOG|HRG|FGF1|GDNF|GPC1|SAA3|FGF9|BMP2|BMP6|FGF21|AGR2|SFRP1|FAM20C|ANXA1|SLIT3|REG1|VEGFC|GSN|BMP10|FGF5|FGF2|CCBE1|ARG1|CCN1|BMP4|BMP5|APP|COMP|APOB|FBP1|PGF|C1QTNF9|INHBA|VEGFB|EDA|NGF|CCL11|COL4A2|CCL24|LOX|WNT5A|LTBP3|SMOC2|PDGFC|IFNA9|HPX|FSTL3|IL17RE|LBP|CXCL1|ADAMTSL2|VWA2|FGB|CCL1|LTBP4|WFIKKN2|INHBB|PDGFA|PDGFB|IL34|TIMP3","cellular response to organic substance","66","ENR","GO:0071310","1.0","8.352052541245518E-9","Cluster 1","Clustered","104.8189556015643","GO:0071310","false","GO:0071310"
"1","0.9981046330480582",,"0.0018953669519418605",,"ANXA1|CCL1|SERPINE1|WNT5A|CXCL14|PDGFB|PLG|IL34|CCL11|APP|CCL24","mononuclear cell migration","11","ENR","GO:0071674","1.0","0.0018953669519418605","Cluster 7","Clustered","56.694736842105264","GO:0071674","false","GO:0071674"
